classId,label,numberOfOccurences
DB00001,'Lepirudin',80
DB00002,'Cetuximab',103
DB00004,'Denileukin diftitox',23
DB00005,'Etanercept',158
DB00006,'Bivalirudin',80
DB00007,'Leuprolide',14
DB00008,'Peginterferon alfa-2a',22
DB00009,'Alteplase',39
DB00010,'Sermorelin',53
DB00011,'Interferon alfa-n1',22
DB00012,'Darbepoetin alfa',16
DB00013,'Urokinase',39
DB00014,'Goserelin',45
DB00015,'Reteplase',39
DB00016,'Epoetin alfa',16
DB00017,'Salmon Calcitonin',41
DB00018,'Interferon alfa-n3',22
DB00019,'Pegfilgrastim',7
DB00020,'Sargramostim',18
DB00021,'Secretin',13
DB00022,'Peginterferon alfa-2b',22
DB00024,'Thyrotropin Alfa',19
DB00025,'Antihemophilic Factor',41
DB00026,'Anakinra',19
DB00028,'Intravenous Immunoglobulin',14
DB00029,'Anistreplase',39
DB00030,'Insulin recombinant',116
DB00031,'Tenecteplase',39
DB00032,'Menotropins',4
DB00033,'Interferon gamma-1b',4
DB00034,'Interferon Alfa-2a, Recombinant',4
DB00035,'Desmopressin',39
DB00036,'Coagulation factor VIIa',4
DB00038,'Oprelvekin',11
DB00039,'Palifermin',4
DB00040,'Glucagon recombinant',17
DB00041,'Aldesleukin',25
DB00042,'Botulinum Toxin Type B',4
DB00043,'Omalizumab',22
DB00044,'Lutropin alfa',44
DB00045,'OspA lipoprotein',4
DB00046,'Insulin Lispro',116
DB00047,'Insulin Glargine',135
DB00048,'Collagenase',4
DB00050,'Cetrorelix',14
DB00051,'Adalimumab',158
DB00052,'Somatropin recombinant',4
DB00054,'Abciximab',67
DB00055,'Drotrecogin alfa',4
DB00056,'Gemtuzumab ozogamicin',10
DB00058,'Alpha-1-proteinase inhibitor',62
DB00060,'Interferon beta-1a',14
DB00061,'Pegademase bovine',4
DB00062,'Human Serum Albumin',4
DB00063,'Eptifibatide',4
DB00064,'Serum albumin iodonated',4
DB00065,'Infliximab',158
DB00066,'Follitropin beta',16
DB00067,'Vasopressin',39
DB00068,'Interferon beta-1b',22
DB00069,'Interferon alfacon-1',4
DB00070,'Hyaluronidase',166
DB00071,'Insulin, porcine',4
DB00072,'Trastuzumab',67
DB00073,'Rituximab',4
DB00074,'Basiliximab',23
DB00075,'Muromonab',4
DB00078,'Ibritumomab',4
DB00081,'Tositumomab',4
DB00082,'Pegvisomant',45
DB00083,'Botulinum Toxin Type A',8
DB00086,'Streptokinase',123
DB00087,'Alemtuzumab',4
DB00089,'Capromab',4
DB00091,'Cyclosporine',4
DB00092,'Alefacept',18
DB00093,'Felypressin',21
DB00094,'Urofollitropin',16
DB00095,'Efalizumab',9
DB00097,'Choriogonadotropin alfa',4
DB00098,'Antithymocyte globulin',14
DB00099,'Filgrastim',4
DB00100,'Coagulation Factor IX',49
DB00102,'Becaplermin',4
DB00104,'Octreotide',4
DB00105,'Interferon Alfa-2b, Recombinant',4
DB00106,'Abarelix',14
DB00107,'Oxytocin',15
DB00108,'Natalizumab',8
DB00110,'Palivizumab',4
DB00111,'Daclizumab',23
DB00112,'Bevacizumab',4
DB00113,'Arcitumomab',4
DB00114,'Pyridoxal Phosphate',28
DB00115,'Cyanocobalamin',4
DB00116,'Tetrahydrofolic acid',4
DB00117,'L-Histidine',4
DB00118,'S-Adenosylmethionine',30
DB00119,'Pyruvic acid',22
DB00120,'L-Phenylalanine',4
DB00121,'Biotin',4
DB00123,'L-Lysine',4
DB00125,'L-Arginine',4
DB00126,'Vitamin C',11
DB00127,'Spermine',14
DB00128,'L-Aspartic Acid',4
DB00129,'L-Ornithine',4
DB00130,'L-Glutamine',10
DB00131,'Adenosine monophosphate',197
DB00132,'Alpha-Linolenic Acid',12
DB00133,'L-Serine',4
DB00135,'L-Tyrosine',4
DB00136,'Calcitriol',69
DB00138,'L-Cystine',4
DB00139,'Succinic acid',16
DB00140,'Riboflavin',12
DB00141,'N-Acetyl-D-glucosamine',12
