firstSim,secondSim,id1,id2
0.82978725,0.91238093,H01BA,H01BA
0.23529412,0.21364452,Multiple,A11HA
0.11764706,0.4587156,Multiple,A11HA
0.056603774,0.20819113,Multiple,Multiple
0.078431375,0.22039473,Multiple,Multiple
0.12328767,0.30420712,Multiple,Multiple
0.114285715,0.16607143,Multiple,Multiple
0.08,0.21829855,Multiple,Multiple
0.12328767,0.31690142,Multiple,Multiple
0.22727273,0.4473684,A16AA,A16AA
0.33333334,0.8645833,Multiple,A11CC
0.33333334,0.764977,Multiple,A11CC
0.33333334,0.828125,Multiple,A11CC
0.2451613,0.21609196,Multiple,D05AX
0.33333334,0.6238532,Multiple,A11CC
0.33333334,0.9739583,Multiple,A11CC
0.97183096,0.8423423,Multiple,D05AX
0.2244898,0.15930901,A11HA,A11HA
0.06666667,0.17216118,A11HA,Multiple
0.072463766,0.10550459,M01AX,M01AX
0.09803922,0.22705314,M01AX,M01AX
0.04379562,0.12580645,M01AX,Multiple
0.072463766,0.12944984,M01AX,Multiple
0.97183096,0.8030303,A11CC,A11CC
0.97183096,0.9578313,A11CC,A11CC
0.97183096,0.61576355,A11CC,A11CC
0.97183096,0.8385417,A11CC,A11CC
0.09090909,0.11372549,C01EB,C01EB
0.044444446,0.068627454,C01EB,Multiple
0.19512194,0.07762557,C01EB,C01EB
0.07042254,0.13084112,C01EB,Multiple
0.2,0.2433735,N06AX,N06AX
0.16363636,0.2720588,N06AX,Multiple
0.061452515,0.23890063,N06AX,N06AX
0.16363636,0.2195122,N06AX,N06AX
0.05381166,0.20135747,N06AX,N06AX
0.046692606,0.22701149,N06AX,N06AX
0.0625,0.19628099,N06AX,N06AX
0.16666667,0.28521127,N06AX,N06AX
0.06043956,0.25510204,N06AX,N06AX
0.16666667,0.28015563,N06AX,N06AX
0.97183096,0.83246076,A11CC,A11CC
0.97183096,0.7828283,A11CC,A11CC
0.97183096,0.7830189,A11CC,A11CC
0.17886178,0.12851405,C10AX,Multiple
0.07984791,0.10786517,C10AX,C10AX
0.096551724,0.098522164,C10AX,C10AX
